jobpost,Title,Company,AboutC
"Blackbird Education Centre /""Sorento"" LLC/
TITLE:  Management and Leadership Course
ANNOUNCEMENT CODE:  016
OPEN TO/ ELIGIBILITY CRITERIA:  All interested candidates
INTENDED AUDIENCE:  All potential and actual Managers
START DATE/ TIME:  17 June 2009
DURATION:  Short-term: 4 weeks
LOCATION:  Yerevan, Armenia
DETAIL DESCRIPTION:  This training is extremely communicative,
interactive, and learning-centered the major focus of which is the
participant. A lot of space will be given to in-class discussions.
Moreover, the training is a blend of introduction of various scholarly
approaches and hands-on references. Throughout the course you will be
given additional handouts and in-class quizzes to reveal your potentials
and strengths.
Course Syllabus:
- Time Management
- Motivation
- Leadership
- Presentation Skills
- Management Styles
- Team Building
- Effective Listening
- Talking Convincingly
- Negotiation
- Leading Effective Meetings.
Course duration: 4 weeks/ 36 hours
Tuition Fee: 58.000 AMD /VAT inclusive/
Maximum 10 participants
REQUIREMENTS:  Knowledge of medium level of speaking English.
APPLICATION PROCEDURES:  The Registration form is attached below or can
be obtained from the Blackbird office at: 86 Kovkasian St., Yerevan
0012, Armenia.
All interested candidates are recommended to fill out the Registration
form and send it by email to: blackbird_edu@... or bring in hand to
the Blackbird office. Tel.+374 10 257545
Please clearly mention in your application letter that you learned of
this training opportunity through Career Center and mention the URL of
its website - www.careercenter.am, Thanks.
OPENING DATE:  05 June 2009
APPLICATION DEADLINE:  16 June 2009
ABOUT COMPANY:  Blackbird Education Centre is a newly opened private
language and education center, with one of a kind high-tech English
laboratory. Blackbird offers a new and effective method of teaching,
popular in most education centers of Europe.
Blackbird made a successful start in providing short-term professional
trainings. It has a team of professional experts.
Website: www.blackbird.am
ABOUT:  About the Trainer
Artak Aloyan got his MA degree from the American University of Armenias
School of Political Science and International Affairs in 2001. For the
past 8 years he has been in managerial positions such as Head of
Departments for Development Programs, Trainings and Professional
Development, International Projects, Grants, Project Management. 
Also, Artak is a certified Trainer in Human Resource Management,
Production Management, and Marketing, has successfully participated in
more than a dozen executive training programs both in Europe and the
USA. 
Artak has years of extensive experience in training, lecturing,
coaching, and mentoring.
ATTACHMENTS:
The following attachment(s) to this announcement can be downloaded from:http://www.careercenter.am/ccdspann.php?id=9352
1. Registration form - Application Form_training.doc (51K)
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Management and Leadership Course,"Blackbird Education Centre /""Sorento"" LLC/","Blackbird Education Centre is a newly opened private
language and education center, with one of a kind high-tech English
laboratory. Blackbird offers a new and effective method of teaching,
popular in most education centers of Europe.
Blackbird made a successful start in providing short-term professional
trainings. It has a team of professional experts.
Website: www.blackbird.am
ABOUT:  About the Trainer
Artak Aloyan got his MA degree from the American University of Armenias
School of Political Science and International Affairs in 2001. For the
past 8 years he has been in managerial positions such as Head of
Departments for Development Programs, Trainings and Professional
Development, International Projects, Grants, Project Management. 
Also, Artak is a certified Trainer in Human Resource Management,
Production Management, and Marketing, has successfully participated in
more than a dozen executive training programs both in Europe and the
USA. 
Artak has years of extensive experience in training, lecturing,
coaching, and mentoring."
"Questrade-Armenia
TITLE:  Office Cleaner
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The Questrade International Office is looking for an
energetic and experienced cleaning professional to provide cleaning
services on a daily basis. The incumbent will clean the offices,
conference room, corridors, kitchens, toilets, storage room, etc.
JOB RESPONSIBILITIES:
- Clean offices, conference room, corridors, kitchens, toilets and
storage room;
- Dust furniture;
- Clean doors, kitchen cabinets, refrigerator, windows and walls;
- Mop, wash or vacuum floors and carpets;
- Empty waste bins into trash containers;
- Clean the toilets and sinks;
- Replenish soap and paper towel dispensers;
- Wash used dishes deposited by staff members in the kitchen;
- Keep cleaning equipment clean and in working order;
- Clean staircase/ outdoor area and balconies (front and back).
REQUIRED QUALIFICATIONS:
- Knowledge of simple machine operations and use of cleaning materials/
solutions;
- Previous work experience as an Office Cleaner.
APPLICATION PROCEDURES:  Please apply through:http://ch.tbe.taleo.net/CH06/ats/careers/requisition.jsp?org=QUESTRADE&cws=1&rid=315.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  04 March 2013
APPLICATION DEADLINE:  03 April 2013
ABOUT COMPANY:  For more information, please visit: www.questrade.com.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Office Cleaner,Questrade-Armenia,"For more information, please visit: www.questrade.com."
"Marktguru LLC
TITLE:  Senior Web Developer
TERM:  Full time
START DATE/ TIME:  ASAP
DURATION:  Permanent, with 3 months probation period.
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The incumbent will have to deal with various
technologies and methods to establish a reliable and high quality
platform supporting the web-application, the mobile webpage, as well as
the Marktguru APPs.
JOB RESPONSIBILITIES:
- Develop, test and deliver code according to requirements defined in
business specifications;
- Participate in task estimation;
- Communicate effectively with the management and team members.
REQUIRED QUALIFICATIONS:
- University degree in the appropriate field of studies;
- At least 3 years of practical experience in Java development;
- Good knowledge of OOP principles;
- Knowledge of HTML, XML, CSS, AJAX, JavaScript and jQuery;
- Good knowledge of JSF is an advantage;
- Good knowledge of MySQL is an advantage;
- Experience in using Eclipse IDE is preferable;
- Good analytical skills;
- Ability to work in a team;
- Excellent knowledge of English language, both on communication and
technical levels.
REMUNERATION/ SALARY:  Highly competitive, based on qualifications and
experience.
APPLICATION PROCEDURES:  Those who meet the requirements mentioned above
are encouraged to send a CV and a motivation letter to:knarik.muradyan@... . Please indicate the name of the position in the
subject line of the e-mail.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  20 March 2014
APPLICATION DEADLINE:  19 April 2014
ABOUT COMPANY:  Marktguru LLC is a branch of an Austrian company engaged
in online marketing.
ADDITIONAL NOTES:  The company thanks all interested applicants, however,
only shortlisted candidates will be contacted for an interview.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Senior Web Developer,Marktguru LLC,"Marktguru LLC is a branch of an Austrian company engaged
in online marketing."
"Synopsys Armenia
TITLE:  Senior R&D Engineer 2
START DATE/ TIME:  May 2010
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Create or support big, complex projects;
- Work with all team members to have well architecture design;
- Find and localize problems, tune for memory/ performance and make them
error-prone.
REQUIRED QUALIFICATIONS:
- MS with 5+ years of relevant experience, or related Ph.D. with 3+
years of experience in programming software for operating systems,
utilizing machine assembly and/or job control languages, and 
thorough knowledge of software capabilities;
- Capability of starting/ leading new application/ product
independently;
- Ability to lead the software design and work on the proposal;
- Abilityt to lead, design and develop several distinct projects
simultaneously;
- Experience in development of complex software projects;
- Excellent C/C++ coding skills, and a strong background in data
structures and algorithms;
- Strong desires to learn and explore new technologies and abilityt to
demonstrate good analysis and problem solving skills is essential;
- Prior knowledge and experience of CAD tool development;
- Development experience in Unix/Linux Environment;
- Good verbal and written skills in English language;
- Ability to create technical and user specifications.
REMUNERATION/ SALARY:  Competitive
APPLICATION PROCEDURES:  Interested candidates should send their resume
in English to the following emails: Diana.Baghdasaryan@... andVahan.Toghanyan@....
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  27 April 2010
APPLICATION DEADLINE:  26 May 2010
ABOUT COMPANY:  You can learn more about Synopsys Armenia from the
following web page:http://www.synopsys.com/Company/Locations/Armenia/Pages/default.aspx.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Senior R&D Engineer 2,Synopsys Armenia,"You can learn more about Synopsys Armenia from the
following web page:http://www.synopsys.com/Company/Locations/Armenia/Pages/default.aspx."
"Career Center Partner Company
TITLE:  Chief Financial Officer
TERM:  Full time
START DATE/ TIME:  ASAP
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Career Center is looking for a professional Chief
Financial Officer for its Partner Company. The incumbent will be in
charge of all financial matters of the Company. 
The role also has a strong relationship and involvement with the annual
profit planning process, long range strategic planning, oversight and
direction of all financial strategy, accounting, company reporting
requirements as well as supporting the executive team in directing the
company through significant growth.
JOB RESPONSIBILITIES:
- Enhance, develop and implement financial policies and procedures which
affect positively the overall performance of the Company; 
- Lead and direct financial planning, budgeting, financial reporting,
auditing, compliance and finance operations including accounting,
inventory, fixed assets and accounts payable; 
- Analyse and monitor performance of store operations; interpret,
discuss issues and make recommendations for profit improvement; 
- Develop integrated revenue/ expense analyses, projections reports and
presentations, perform sales forecasts and variance analysis, etc.; 
- Identify and recommend corrective measures to be taken to rectify any
potential brand deficiencies to enhance profitability and create
follow-up/ action plans to tackle associated risks/ opportunities; 
- Advise solutions regarding portfolio financial trends, risks and
opportunities; 
- Recruit, lead, coach and develop a team of high performing
professionals.
REQUIRED QUALIFICATIONS:
- Bachelor's degree in Accounting; Masters degree in Finance,
Accounting, or Business Administration is strongly preferred; 
- At least 3 years of successful experience in senior financial
management of a retail business; 
- Excellent knowledge of accounting principles and practices; 
- Strong ability to build and manage on-going external relationships
critical to maintaining and expanding the business; 
- Decisive, forward-thinking individual with high ethical standards; 
- Strong knowledge of MS Office; 
- Excellent command of Armenian, Russian and English languages.
REMUNERATION/ SALARY:  1.000.000 AMD net salary / month. The Company
offers a solid benefits package, including healthcare benefits (medical
insurance), extensive training and development opportunities in CIS
countries and abroad.
APPLICATION PROCEDURES:  To apply for this position please open (click)http://www.careerhouse.com website, register as a regular user, fill out
your Resume, then open the same announcement there, click on the ""Apply""
button and proceed to receive the confirmation message. By doing this
you will apply for this position and meanwhile get registered in the
Career Center Resume Database.
Should you have any questions, please call: +(374 10) 56 03 28.
Only short listed applicants will be contacted for the interview.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  11 December 2008
APPLICATION DEADLINE:  23 December 2008
ABOUT COMPANY:  The Companys activities are import and distribution of
foodstuffs, import and realization of shoes.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Chief Financial Officer,Career Center Partner Company,"The Companys activities are import and distribution of
foodstuffs, import and realization of shoes."
"Lycos Europe
TITLE:  Ad Developer ID No. 3
START DATE/ TIME:  01 February 2005
DURATION:  Permanent
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  To build up our European Sales Support Team in
Armenia, we are currently looking to recruit employees for the position
of Ad Developer. The Ad Development Team is responsible for customising
our DoubleClick DART Enterprise system and peripheral tools, as used by
the Customer Care team and sales staff. Typical customisations could be
to develop templates for new ad formats, test new ad formats or
integrate with other systems like user databases, reporting tools, CRM
systems, SAP.
JOB RESPONSIBILITIES:
- Learn and understand the DoubleClick DART Enterprise technology and
functionality, understand the surrounding systems, and system
architecture as it maps to our business needs;
- Become an expert in customising and integrating the DoubleClick
AdServer software;
- Development and maintenance of our Sales supporting systems;
- Programming of pre-defined project assignments.
REQUIRED QUALIFICATIONS:
- University degree in computer science or a similar education;
- More than 1 year of experience in system development. A previous
experience with ad systems and other enterprise systems are desirable;
- Experience in high load systems would be advantageous;
- Very good knowledge of written and spoken English language;
- Pro-active, calm, thorough personality, who has fun solving technical
problems;
- Analytically strong, excellent organisational skills, ability to
handle multiple priorities.
Additionally specific technical requirements:
- More than 2 years of experience in Java, PHP, HTTP, Perl and advanced
SQL necessary;
- Ideally additionally knowledge of Linux environments and Apache
modules.
REMUNERATION/ SALARY:  Attractive
APPLICATION PROCEDURES:  Please send your Application letter and CV in
English answering the 2 questions below to: info@... and
state the profile No.3.
Question 1: Please let us know, why you are the right person fulfilling
the specific technical demands? 
Question 2: Describe the last programming project you have worked on in
detail. What were your tasks and how did you deliver them?
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  20 January 2005
APPLICATION DEADLINE:  20 February 2005
ABOUT COMPANY:  Lycos Europe is a European Internet company that
operates a pan-European network of websites in nine languages. Lycos
Communities is developing and operating a chat in Europe along with a
dating system, games and entertainment.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Ad Developer ID No. 3,Lycos Europe,"Lycos Europe is a European Internet company that
operates a pan-European network of websites in nine languages. Lycos
Communities is developing and operating a chat in Europe along with a
dating system, games and entertainment."
"Narkekatsi Hibokrat LLC
TITLE:  Brand Manager
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Narkekatsi Hibokrat LLC is looking for a Brand manager
to work for Prenatal Armenia.
JOB RESPONSIBILITIES:
- Achieve targeted sales for the respective brand;
- Improve gross margins;
- Improve footfall conversion for the respective brands;
- Adhere visual standards as per brand's requirements;
- Improve stock turns for the respective brands;
- Develop action plan to achieve sales target;
- Responsible for the detection, anticipation and awareness of the
customers' needs and market trends, collections and competitors affecting
its area or region;
- Responsible for training and developing managers;
- Responsible for stock management: monitor and take action upon excess/
lack of stock, slow/ fast selling items, broken sizes/ collections by
working closely with the managers and visual merchandisers;
- Plan and organize the sales periods and new season launch;
- Approve assortment planning;
- Enhance brand promotion and marketing activities;
- Build and maintain relationships with key personnel of licensees,
principals, etc.
REQUIRED QUALIFICATIONS:
- At least 1-3 years of experience in heading the brand position;
- Excellent knowledge of English language (both oral and written);
knowledge of Italian language will be a plus;
- Advanced exposure to retailing practices, promotions and visual
merchandising activities;
- Exposure in merchandise planning and brand management (preferred for
the kids fashion brands);
- Exposure to buying/ sales function;
- Prior experience in managing relationship with large international
Principals;
- Demonstrated good communication and negotiation skills;
- Proven success in establishing new brands in the market;
- Very strong analytic skills;
- Leadership skills;
- Exposure to advance merchandise management practices;
- Prior experience in working for a high performance driven organisation.
APPLICATION PROCEDURES:  Interested candidates can send their CVs to:Inga.danielyan@... . Please indicate in the subject line the title
of the position.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  02 March 2015
APPLICATION DEADLINE:  01 April 2015
ABOUT COMPANY:  Narkekatsi Hibokrat LLC works with several brands, such
as Prenatal.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Brand Manager,Narkekatsi Hibokrat LLC,"Narkekatsi Hibokrat LLC works with several brands, such
as Prenatal."
"British Council Armenia
TITLE:  Administrative Assistant
ANNOUNCEMENT CODE:  011
TERM:  Full time
START DATE/ TIME:  17 May 2010
DURATION:  Long term with 3 month probation period.
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Deal with routine correspondence, including answering telephone and
email enquiries;
- Coordinate the flow and distribution of incoming and outgoing
documentation;
- Provide translation and interpretation between English and Armenian
and Russian as requested;
- Arrange meetings at request of British Council staff;
Assist staff with business travels (flight bookings, travel insurance
and transportation);
- Coordinate procurement logistics;  
- Maintain an effective filling and records management system including
staff/ partners/ stakeholders/ service providers contact data;
- Assist the administration of Scholarships/ fellowships organized by
the British Council;
- Prepare information for general public use;
- Perform other administrative duties as assigned by the Line Manager or
Country Director.
REQUIRED QUALIFICATIONS:
- Higher education;
- Previous work experience in a similar position for minimum of 2 years;
- Fluent in Armenian, Russian and English languages;
- Excellent knowledge of MS Office package;
- High self-organizational skills and sense of responsibility, accuracy,
integrity and commitment;
- Energetic, hands-on personality and ability to work under pressure;
- High communication skills, teamwork abilities;
- Personal discipline and efficiency of actions.
APPLICATION PROCEDURES:  Please fill out and send the application form,
quoting reference 011 in subject line, to:  jobs@... . 
The application form and all the necessary information can be downloaded
from British Council Armenia websitehttp://www.britishcouncil.org/armenia-about-us-jobs.htm. Applications
are accepted only by e-mail. No phone calls, please.
Applications received after the deadline will not be accepted.
In support of your application, please provide evidence that you meet
the following:
- Behavioural competencies;
- Skills, knowledge and experience;
- Any specialist qualifications stated in the person specification.
Before filling out the application form please read the Information
about the job, Guidance on completing the application form and the
Behavioural competency dictionary available on British Council Armenia
website.
Please attach only documents supporting your evidence for meeting the
essential or desirable competencies, skills and experience. No CVs
please.
Shortlisted applicants will be asked to do translation from/to English.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  15 April 2010
APPLICATION DEADLINE:  27 April 2010, 17:00
ABOUT COMPANY:  The British Council is the United Kingdoms
international organization for educational opportunities and cultural
relations. It operates in 110 countries. Its purpose is to build
mutually beneficial relationships between people in the UK and other
countries and increase appreciate of UKs creative ideas and
achievements.
ADDITIONAL NOTES:  British Council Armenia's recruitment and selection
policies ensure there is no unjustified discrimination on the grounds of
age, disability or HIV/AIDS status, gender including transgender and
marital status, political opinion, race/ ethnicity, religion and belief,
sexual orientation, spent convictions, socio-economic background, trade
union activity or membership, on the basis of having or not having
dependants, work pattern, or on any other irrelevant grounds.
The organization guarantees an interview to disabled candidates who meet
the essential criteria.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Administrative Assistant,British Council Armenia,"The British Council is the United Kingdoms
international organization for educational opportunities and cultural
relations. It operates in 110 countries. Its purpose is to build
mutually beneficial relationships between people in the UK and other
countries and increase appreciate of UKs creative ideas and
achievements."
"Netsoft-USA Yerevan Office
TITLE:  iOS Software Engineer
TERM:  Full time, flex time
DURATION:  Long term
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  As a Software Developer, you will be part of a team
working for a company where software development is the business, rather
than a company where it's merely considered a necessary expense that
supports the business (such as IT for a bank). At Netsoft USA, your
skills and creative processes are the profit generator, rather than an
expense against the profit.
JOB RESPONSIBILITIES:
- Work in a technical team to craft and develop technical solutions that
meet company's customers requirements;
- Develop state-of-the-art applications for a diverse client base;
- Participate in all phases of SDLC;
- Develop mobile iOS based apps;
- Understand business and functional requirements, and translate them
into amazing technical solutions;
- Identify company paid training opportunities to expand your technical
horizon;
- Truly enjoy what you do for a living.
REQUIRED QUALIFICATIONS:
- Insane coding skills;
- Excellent knowledge of English language, both written and spoken;
- At least Bachelors degree in Computer Sciences or a related field;
- 1 to 2 years of professional experience in developing applications in
iOS;
- Strong understanding of Cocoa/ UIKit frameworks and iOS SDK;
- Experience with user interface design and development in a project
setting;
- Strong C++/ Objective C experience;
- Experience with XCode;
- Knowledge of HTML5 and jQuery Mobile;
- Strong portfolio of mobile application designs demonstrating relevant
user interface work;
- Experience in data model and object design.
Desired Qualifications:
- Experience in leveraging Core Animation;
- Application on the iTunes App Store;
- Experience in web services and social platforms integration;
- Experience with multiple mobile platforms (Windows Mobile 7+, Google
Android, WebOS, Bada, WinCE and Symbian);
- Experience with relational database (MS SQL Server, Oracle, etc.);
- 1 to 2 years of professional experience in developing Java web based
applications.
REMUNERATION/ SALARY:  Competitive salary and merit based profit sharing.
APPLICATION PROCEDURES:  Please email your professional CV to:narine.voskanyan@... , specifying the job position name in
the subject line. Please note that only shortlisted candidates will be
contacted for an interview appointment.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  24 October 2012
APPLICATION DEADLINE:  23 November 2012
ABOUT COMPANY:  Netsoft USA is specialized in creating custom business
solutions for a diverse client base. For more information, please visit
company's web site at: www.netsoft-usa.com.
ADDITIONAL NOTES:  Company offers fully paid Health Benefits and company
paid training.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",iOS Software Engineer,Netsoft-USA Yerevan Office,"Netsoft USA is specialized in creating custom business
solutions for a diverse client base. For more information, please visit
company's web site at: www.netsoft-usa.com."
"Boomerang Software LLC
TITLE:  Tester/ Software Quality Assurance Engineer
TERM:  Full time
START DATE/ TIME:  ASAP
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  Boomerang Software LLC is looking for a Software
Quality Assurance Engineer for its long-term projects. The incumbent
will perform required test types for Windows based desktop applications
and web applications.
JOB RESPONSIBILITIES:
- Design test cases;
- Perform manual and automated testing;
- Design and develop automated test scripts;
- Perform GUI, functionality, performance, load, compatibility and
usability tests; 
- Identify, reproduce and report bugs;
- Verify fixed defects and perform regression tests to ensure the
quality of software releases.
REQUIRED QUALIFICATIONS:
- Minimum 1 year of work experience as a QA engineer;
- Knowledge of development process; 
- Knowledge of testing techniques and problems documenting;
- An operational experience with bug-tracking systems; 
- Ability to meet deadlines;
- Knowledge of English language;
- Knowledge of C++, HTML and Java-script is desired;
- Experience in developing scripts for automated testing (Mercury
WinRunner) is desired;
- Experience in spelling own software applications is desired;
- General knowledge of relational databases is desired;
- An operational experience with databases.
REMUNERATION/ SALARY:  Highly competitive
APPLICATION PROCEDURES:  To apply, email your resume listing your
qualifications and experience to: office@... or deliver hard
copies to: 6/1 Abelyan St., 5th floor, Yerevan. Please mention in the
subject line the position you are applying for.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  20 October 2006
APPLICATION DEADLINE:  19 November 2006
ABOUT COMPANY:  Boomerang Software LLC is the Yerevan office of
Boomerang Software, Inc., headquartered in Boston, Massachusetts, USA.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Tester/ Software Quality Assurance Engineer,Boomerang Software LLC,"Boomerang Software LLC is the Yerevan office of
Boomerang Software, Inc., headquartered in Boston, Massachusetts, USA."
"ArmenTel
TITLE:  Leading System Development and Support Specialist
OPEN TO/ ELIGIBILITY CRITERIA:  All interested candidates
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  N/A
JOB RESPONSIBILITIES:
- Implement and accomplish fraud management procedures;
- Perform analysis of new and existing systems and platforms ensuring
receipts and processing of payments;
- Create, implement and develop integrated method of determination and
control over revenue loss;
- Develop and implement effective working methods of the division in
accordance with tasks assigned;
- Prepare and present necessary reporting in a timely manner.
REQUIRED QUALIFICATIONS:
- University degree in a technical or economical field;
- At least 1 year of experience in the field of telecommunications;
- Experience in IT projects (programming, testing);
- Programming skills;
- Ability to understand and analyze received results;
- Efficient and accurate personality;
- Team-player;
- Stress-resistant;
- Excellent communication skills;
- Advanced computer skills; experience in working with MS Office and
Databases (SQL, scripts and administration);
- Fluency in Armenian and Russian languages, knowledge of technical
English.
REMUNERATION/ SALARY:  Contract based salary, full medical insurance and
professional training.
APPLICATION PROCEDURES:  Qualified and interested candidates are kindly
requested to submit CV/ resume in Russian and Armenian or English
languages to: 2 Aharonyan Str., Yerevan, 0014 or by e-mail:hrm@... . In the subject line of your e-mail message, please
mention the title of the position you are applying for. Only shortlisted
candidates will be contacted.
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  30 August 2010
APPLICATION DEADLINE:  25 September 2010
ABOUT COMPANY:  For additional information about the company, please
visit its website: www.beeline.am.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",Leading System Development and Support Specialist,ArmenTel,"For additional information about the company, please
visit its website: www.beeline.am."
"LTX-Credence Armenia LLC
TITLE:  FPGA Design and Verification Engineer
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The intern will work with IC design, mainly using
Altera and Xilinx FPGAs. Tasks include micro-architecture, RTL module
design, verification synthesis timing constraints and timing closure.
REQUIRED QUALIFICATIONS:
- 3-4th year university student;
- Proven module design and verification capability;
- Proven ability to synthesize designs and close on timing;
- Proven ability to correctly constrain designs;
- Knowledge of script writing, specifically Python, is required;
- Knowledge of ATE instrument design is helpful;
- Experience with Xilinx Vivado and 28 nm FPGA designs (either Altera or
Xilinx) is helpful;
- Good knowledge of English language.
APPLICATION PROCEDURES:  Interested candidates are kindly requested to
mail CV/ resume in English language to: Georgi_Isayan@... .
Please clearly mention in your application letter that you learned of
this internship opportunity through Career Center and mention the URL of
its website - www.careercenter.am, Thanks.
OPENING DATE:  02 August 2013
APPLICATION DEADLINE:  02 September 2013
ABOUT COMPANY:  LTX-Credence Armenia LLC is an engineering development
company and a subsidiary of LTX-Credence Corporation (USA).
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",FPGA Design and Verification Engineer,LTX-Credence Armenia LLC,"LTX-Credence Armenia LLC is an engineering development
company and a subsidiary of LTX-Credence Corporation (USA)."
"""K-Telecom"" CJSC /VivaCellMTS/
TITLE:  IN & VAS Unit Manager
TERM:  Full time
LOCATION:  Yerevan, Armenia
JOB DESCRIPTION:  The IN & VAS Unit Manager will lead, manage,
contribute to the growth and administer the operational performance of
the Unit, by ensuring strategic direction and results. He/she will be
responsible for administration and support of prepaid and VAS platforms
according to the measurable quality standards.
JOB RESPONSIBILITIES:
- Manage the support of IN & VAS related tasks and issues, related to
prepaid subscriber accounts, and provisioning requests, among others;
- Manage the process and proper operation of prepaid and VAS server
administration, including monitoring, maintenance and troubleshooting;
- Administer the processes automation and VAS development;
- Control and report on the effectiveness of all processes related to
the prepaid activities, internal and external;
- Develop and follow up on implementation of annual working plan and
targets of the unit;
- Plan, monitor and control the units budget as well as the units
operational and capital expenses;
- Strategically manage the unit staff by ensuring performance
assessments, project implementation results, coaching and mentoring.
REQUIRED QUALIFICATIONS:
- Masters degree in Computer Engineering, Management of IS (MIS) or
equivalent;
- Deep understanding and knowledge of GSM Prepaid & VAS platforms (USSD,
SMS, IVR, etc.);
- Seven to ten years (7-10) of experience in the telecommunications
industry with an emphasis in software development and/or the development
and support of engineering and operations products and services;
- 2 to 3 years of relevant experience in a similar position preferably
in a mobile operator or ISP;
- Knowledge of the telecom and software industries, technologies and
processes;
- Excellent proven language skills, namely in English, Armenian and/or
Russian;
- Knowledge of Finance and Tax Legislation principles; 
- Strong strategic planning and management;
- Strong project management skills;
- Strong leadership and team management skills.
REMUNERATION/ SALARY:  VivaCell-MTS offers a competitive compensation
including various benefits as well as trainings and potential for career
advancement.
APPLICATION PROCEDURES:  Please, send your CV to: in-vas-um@... .
Please clearly mention in your application letter that you learned of
this job opportunity through Career Center and mention the URL of its
website - www.careercenter.am, Thanks.
OPENING DATE:  09 October 2008
APPLICATION DEADLINE:  17 October 2008
ABOUT COMPANY:  VivaCellMTS is the leading mobile operator in Armenia.
----------------------------------
To place a free posting for job or other career-related opportunities
available in your organization, just go to the www.careercenter.am
website and follow the ""Post an Announcement"" link.",IN & VAS Unit Manager,"""K-Telecom"" CJSC /VivaCellMTS/",VivaCellMTS is the leading mobile operator in Armenia.
